index	initial_lddt	final_lddt	ideal_lddt
15840	tensor(0.4358)	tensor(0.4358)	tensor(0.5435)
15880	tensor(0.3946)	tensor(0.3946)	tensor(0.5323)
15920	tensor(0.3576)	tensor(0.3576)	tensor(0.4709)
15960	tensor(0.4119)	tensor(0.4119)	tensor(0.5427)
16000	tensor(0.3630)	tensor(0.3630)	tensor(0.4877)
16040	tensor(0.4585)	tensor(0.4585)	tensor(0.5946)
16080	tensor(0.3527)	tensor(0.3527)	tensor(0.4736)
16120	tensor(0.3822)	tensor(0.3822)	tensor(0.5121)
16160	tensor(0.4979)	tensor(0.4979)	tensor(0.5993)
16200	tensor(0.4528)	tensor(0.4528)	tensor(0.5756)
16240	tensor(0.3657)	tensor(0.3657)	tensor(0.4895)
16280	tensor(0.4146)	tensor(0.4146)	tensor(0.5509)
16320	tensor(0.3937)	tensor(0.3937)	tensor(0.5348)
16360	tensor(0.4150)	tensor(0.4150)	tensor(0.5425)
16400	tensor(0.4783)	tensor(0.4783)	tensor(0.5994)
16440	tensor(0.4491)	tensor(0.5234)	tensor(0.5624)
16480	tensor(0.4369)	tensor(0.4369)	tensor(0.5707)
16520	tensor(0.3567)	tensor(0.3567)	tensor(0.4885)
16560	tensor(0.4566)	tensor(0.4566)	tensor(0.5917)
16600	tensor(0.4162)	tensor(0.4162)	tensor(0.5139)
16640	tensor(0.4099)	tensor(0.4099)	tensor(0.5294)
16680	tensor(0.2711)	tensor(0.2711)	tensor(0.3753)
16720	tensor(0.3323)	tensor(0.4093)	tensor(0.4378)
16760	tensor(0.4078)	tensor(0.4737)	tensor(0.5237)
16800	tensor(0.4926)	tensor(0.4926)	tensor(0.6288)
16840	tensor(0.4218)	tensor(0.4218)	tensor(0.5411)
16880	tensor(0.3596)	tensor(0.4792)	tensor(0.4998)
16920	tensor(0.3660)	tensor(0.3660)	tensor(0.5010)
16960	tensor(0.4460)	tensor(0.4460)	tensor(0.5596)
17000	tensor(0.4047)	tensor(0.4047)	tensor(0.5448)
17040	tensor(0.3857)	tensor(0.3857)	tensor(0.5446)
17080	tensor(0.4821)	tensor(0.4821)	tensor(0.6189)
17120	tensor(0.4445)	tensor(0.4445)	tensor(0.5889)
17160	tensor(0.3669)	tensor(0.3669)	tensor(0.5118)
17200	tensor(0.4519)	tensor(0.5234)	tensor(0.5713)
17240	tensor(0.3480)	tensor(0.3480)	tensor(0.4842)
17280	tensor(0.4663)	tensor(0.4663)	tensor(0.5872)
17320	tensor(0.4722)	tensor(0.4722)	tensor(0.6021)
17360	tensor(0.4745)	tensor(0.4745)	tensor(0.6057)
17400	tensor(0.3476)	tensor(0.3476)	tensor(0.4700)
17440	tensor(0.3971)	tensor(0.3971)	tensor(0.5312)
